 position , pHeight
        1 , 16.6900
        2 ,  0.2400
        3 , 16.6100
        4 , 31.9400
        5 , 31.1600
        6 , 18.2900
        7 , 32.4800
        8 , 31.8000
        9 , 50.5000
       10 , 15.9500
       11 , 33.9700
       12 , 15.5200
       13 , 15.8600
       14 , 14.7900
       15 , 22.5300
       16 ,  7.4700
       17 ,  0.2500
       18 ,  9.6400
       19 , 21.0200
       20 ,  7.6700
       21 ,  7.4400
       22 , 15.0300
       23 , 21.3100
       24 ,  0.8800
       25 , 13.9600
       26 ,  0.9900
       27 ,  6.9300
       28 ,  7.6400
       29 ,  7.0900
       30 ,  7.5200
       31 ,  2.0200
       32 ,  6.8700
       33 ,  7.1000
       34 ,  1.4500
       35 , 12.2100
       36 ,  7.0200
       37 ,  6.5700
       38 ,  6.7400
       39 ,  1.6900
       40 , 12.5300
       41 ,  0.8300
       42 ,  7.2200
       43 ,  5.8600
       44 , 11.6900
       45 ,  1.1500
       46 , 12.2400
       47 ,  1.9800
       48 ,  6.5100
       49 ,  5.7800
       50 , 11.3500
       51 , 10.3000
       52 ,  6.2000
       53 ,  5.8600
       54 ,  6.9100
       55 ,  7.4700
       56 ,  5.3000
       57 ,  6.2200
       58 ,  6.3000
       59 , 14.5000
       60 ,  1.7700
       61 ,  9.1500
       62 ,  6.1900
       63 , 10.1800
       64 ,  4.8800
       65 ,  3.4900
       66 , 10.3900
       67 ,  7.0000
       68 ,  0.9700
       69 ,  9.3900
       70 , 17.3900
       71 ,  5.8100
       72 ,  0.8200
       73 ,  8.3500
       74 , 15.8200
       75 ,  5.4200
       76 ,  1.5700
       77 ,  8.1900
       78 , 18.9900
       79 ,  2.9100
       80 ,  1.7100
       81 ,  7.0500
       82 ,  8.9000
       83 ,  3.7700
       84 ,  4.7400
       85 ,  4.5400
       86 , 16.2700
       87 ,  1.7800
       88 ,  3.7100
       89 ,  9.0300
       90 ,  5.4700
       91 ,  3.4300
       92 ,  6.6600
       93 ,  5.0500
       94 ,  9.6000
       95 ,  5.2500
       96 ,  0.0500
