 position , pHeight
        1 , 20.9200
        2 ,  0.2400
        3 , 20.9800
        4 , 39.9000
        5 , 39.7600
        6 , 22.6500
        7 , 41.3600
        8 , 39.7800
        9 , 63.9300
       10 , 19.8200
       11 , 45.7700
       12 , 16.2700
       13 , 19.7000
       14 , 18.8800
       15 , 24.6600
       16 ,  5.9900
       17 ,  0.3500
       18 , 15.4100
       19 , 17.0500
       20 , 13.0200
       21 ,  6.2300
       22 , 12.2000
       23 , 36.7100
       24 ,  1.2400
       25 , 17.6600
       26 ,  6.9400
       27 ,  6.1000
       28 ,  9.7700
       29 ,  8.7600
       30 , 10.0200
       31 ,  4.6500
       32 ,  5.8200
       33 , 11.8000
       34 ,  1.6100
       35 , 13.5600
       36 ,  8.9100
       37 ,  8.6600
       38 ,  5.8300
       39 ,  4.4700
       40 , 15.7200
       41 ,  0.9600
       42 ,  9.0500
       43 ,  7.6900
       44 , 15.1400
       45 ,  1.2300
       46 , 15.7500
       47 ,  1.9300
       48 , 10.6500
       49 ,  4.9400
       50 , 14.6500
       51 ,  9.3300
       52 ,  7.6800
       53 ,  7.4300
       54 , 11.0600
       55 , 11.3100
       56 ,  4.7900
       57 ,  9.9100
       58 ,  7.8100
       59 , 18.7500
       60 ,  4.0900
       61 , 10.4300
       62 ,  6.4600
       63 , 13.3300
       64 ,  6.4200
       65 ,  7.3400
       66 , 16.7700
       67 , 12.2700
       68 ,  1.1700
       69 ,  9.6200
       70 , 13.9300
       71 ,  6.7100
       72 ,  1.3200
       73 ,  7.0900
       74 , 15.5300
       75 ,  2.1300
       76 ,  3.3300
       77 ,  9.4000
       78 , 20.1800
       79 ,  4.3900
       80 ,  1.2300
       81 , 10.6200
       82 , 15.2900
       83 ,  7.6900
       84 ,  2.6400
       85 ,  8.0100
       86 , 27.9900
       87 ,  2.0700
       88 ,  7.9300
       89 ,  6.5100
       90 ,  8.8900
       91 ,  3.7700
       92 ,  7.4600
       93 ,  6.6100
       94 , 10.4800
       95 ,  3.7600
       96 ,  0.1100
