 position , pHeight
        1 ,  49.9200
        2 ,   0.9000
        3 ,  48.5000
        4 , 103.1800
        5 ,  47.0700
        6 ,  47.0400
        7 ,  90.8300
        8 ,  45.8800
        9 , 100.2000
       10 ,  44.4000
       11 ,   0.7600
       12 ,   1.0400
       13 ,  46.7100
       14 ,   1.9000
       15 ,   6.1800
       16 ,  43.9100
       17 ,   5.6000
       18 ,  44.4000
       19 ,   5.8800
       20 , 157.0400
       21 ,   7.2400
       22 ,  83.4400
       23 ,   7.5500
       24 ,   3.7000
       25 ,  42.4800
       26 ,  80.2000
       27 ,  43.8800
       28 ,  74.7200
       29 ,   5.6600
       30 ,  42.0400
       31 ,  41.9000
       32 ,   6.7700
       33 ,   4.3700
       34 ,  40.8600
       35 ,  43.4400
       36 ,   8.8000
       37 ,   4.5300
       38 ,  41.2800
       39 ,  68.8100
       40 ,  19.6700
       41 ,   7.9100
       42 ,  37.8100
       43 ,  39.4000
       44 , 112.5800
       45 ,  31.4900
       46 ,  12.4000
       47 ,  34.4500
       48 ,   9.6000
       49 ,  10.6100
       50 ,  33.2300
       51 ,   9.5200
       52 ,  10.7900
       53 ,  44.0100
       54 ,  13.0200
       55 ,  13.3500
       56 ,  34.6400
       57 ,   5.9600
       58 ,  30.4300
       59 ,  34.9100
       60 ,  31.8700
       61 ,   8.8000
       62 ,   9.0600
       63 ,  34.7300
       64 ,  10.7100
       65 ,  24.9200
       66 ,  11.8100
       67 ,  35.1800
       68 ,  17.4100
       69 ,   6.8800
       70 ,  25.6700
       71 ,  40.6900
       72 ,  46.7100
       73 ,   9.8800
       74 ,  11.8800
       75 ,  64.8700
       76 ,  26.2800
       77 ,  25.4100
       78 ,  23.8500
       79 ,  31.9100
       80 ,  12.6600
       81 ,  22.5300
       82 ,  13.0600
       83 ,  28.1100
       84 ,  24.9200
       85 ,  10.4500
       86 ,  30.1200
       87 ,  19.8400
       88 ,  24.0600
       89 ,  22.6600
       90 ,  33.8000
       91 ,  43.1500
       92 ,  11.1200
       93 ,  19.6700
       94 ,  15.7000
       95 ,  32.0000
       96 ,   9.4000
       97 ,  11.3400
       98 ,  34.2200
       99 ,  25.5100
      100 ,  13.7400
      101 ,  17.1500
      102 ,  25.9600
      103 ,  14.2200
      104 ,   0.4100
